Bus ID,Time ID,Location,Arrive,Depart,stop time,travel time,Special circumstance?
S10,3,Athletics W,13:21:03,13:21:18,0:00:15,0:01:38,
S10,3,EPIC N,13:21:51,13:22:20,0:00:29,0:00:33,
S10,3,Grigg,13:22:41,13:23:06,0:00:25,0:00:21,
S10,3,BATT,13:23:51,13:23:58,0:00:07,0:00:45,
S10,3,Portal W,13:24:47,13:25:08,0:00:21,0:00:49,
S10,3,CRI,13:25:58,13:30:51,0:04:53,0:00:50,
S10,3,Duke,13:32:08,13:32:44,0:00:36,0:01:17,
S10,3,EPIC S,13:34:07,13:34:21,0:00:14,0:01:23,
S10,3,Athletics E,13:35:08,13:35:08,0:00:00,0:00:47,
S10,3,Stun E,13:36:48,13:37:30,0:00:42,0:01:40,
S10,3,Aux,13:38:05,13:38:33,0:00:28,0:00:35,
S10,3,Stu Health,13:39:40,13:39:40,0:00:00,0:01:07,
S10,3,Martin,13:40:39,13:44:32,0:03:53,0:00:59,
S10,3,Lot 6,13:45:11,13:45:40,0:00:29,0:00:39,
S10,3,Lot 5A,13:46:21,13:46:29,0:00:08,0:00:41,
S10,3,East Deck,13:46:57,13:46:57,0:00:00,0:00:28,
S10,3,Fret N,13:48:00,13:48:28,0:00:28,0:01:03,
S10,3,Klien,13:49:10,13:49:24,0:00:14,0:00:42,
S10,3,Stun W,13:50:06,13:52:06,0:02:00,0:00:42,
S10,3,Athletics W,13:53:50,13:54:04,0:00:14,0:01:44,**********
S10,3,EPIC N,13:54:32,13:54:55,0:00:23,0:00:28,
S10,3,Grigg,13:55:15,13:55:15,0:00:00,0:00:20,
S10,3,BATT,13:55:54,13:56:10,0:00:16,0:00:39,
S10,3,Portal W,13:56:51,13:56:59,0:00:08,0:00:41,
S10,3,CRI,13:57:55,13:58:30,0:00:35,0:00:56,
S10,3,Duke,13:59:54,14:00:09,0:00:15,0:01:24,
S10,3,EPIC S,14:01:26,14:02:00,0:00:34,0:01:17,
S10,3,Athletics E,14:02:49,14:02:49,0:00:00,0:00:49,
S10,3,Stun E,14:04:00,14:10:11,0:06:11,0:01:11,
S10,3,Aux,14:10:50,14:11:07,0:00:17,0:00:39,
S10,3,Stu Health,14:11:55,14:12:17,0:00:22,0:00:48,
S10,3,Martin,14:12:57,14:14:15,0:01:18,0:00:40,
S10,3,Lot 6,14:14:57,14:15:18,0:00:21,0:00:42,
S10,,AVG,,,0:00:47,0:00:54,
,,,,,,,
S11,3,Stun W,13:00:59,13:02:58,0:01:59,,
S11,3,Athletics W,13:04:57,13:04:57,0:00:00,0:01:59,
S11,3,EPIC N,13:05:32,13:05:53,0:00:21,0:00:35,
S11,3,Grigg,13:06:35,13:06:49,0:00:14,0:00:42,
S11,3,BATT,13:07:31,13:07:38,0:00:07,0:00:42,
S11,3,Portal W,13:08:21,13:08:40,0:00:19,0:00:43,
S11,3,CRI,13:09:30,13:12:05,0:02:35,0:00:50,
S11,3,Duke,13:13:12,13:13:57,0:00:45,0:01:07,
S11,3,EPIC S,13:15:20,13:16:09,0:00:49,0:01:23,
S11,3,Athletics E,13:17:05,13:17:19,0:00:14,0:00:56,
S11,3,Stun E,13:18:50,13:19:53,0:01:03,0:01:31,
S11,3,Aux,13:20:56,13:21:32,0:00:36,0:01:03,
S11,3,Stu Health,13:22:55,13:23:09,0:00:14,0:01:23,
S11,3,Martin,13:24:47,13:26:39,0:01:52,0:01:38,
S11,3,Lot 6,13:27:22,13:27:51,0:00:29,0:00:43,
S11,3,Lot 5A,13:29:13,13:29:35,0:00:22,0:01:22,
S11,3,East Deck,13:30:04,13:30:16,0:00:12,0:00:29,
S11,3,Fret N,13:31:26,13:32:39,0:01:13,0:01:10,
S11,3,Klien,13:32:57,13:33:33,0:00:36,0:00:18,
S11,3,Stun W,13:34:08,13:36:48,0:02:40,0:00:35,
S11,3,Athletics W,13:38:33,13:38:33,0:00:00,0:01:45,
S11,3,EPIC N,13:39:15,13:39:50,0:00:35,0:00:42,
S11,3,Grigg,13:40:25,13:40:47,0:00:22,0:00:35,
S11,3,BATT,13:41:35,13:41:49,0:00:14,0:00:48,
S11,3,Portal W,13:42:37,13:42:51,0:00:14,0:00:48,
S11,3,CRI,13:43:59,13:48:00,0:04:01,0:01:08,
S11,3,Duke,13:49:10,13:49:24,0:00:14,0:01:10,
S11,3,EPIC S,13:50:41,13:50:54,0:00:13,0:01:17,
S11,3,Athletics E,13:51:37,13:51:37,0:00:00,0:00:43,
